;text
0;Fortschrittlich gegen die da unten
1;"
                Alle diskutieren über die Verteidigung der Demokratie. Steckt dahinter ein Kampf der neuen Mittelschichten gegen die Modernisierungsverlierer?
            "
2;Der Kampf gegen postdemokratische Verhältnisse in der Bundesrepublik wird       mit großer Entschiedenheit ausgefochten, aber ohne einen klar konturierten Feind. Das Programm       der AfD bleibt im Ganzen nebulös, tagespolitisch greift sie die Flanken an, die durch die       Blockaden der großen Koalition geöffnet werden, während die medialen Provokationen der Rechten       sämtlich und verlässlich zünden. Die Demokratie ist in Gefahr, und alle müssen nun kämpfen –       so jedenfalls spitzt sich die Gefühlslage in den Medien zu. 
3;"         Vielleicht stimmt das sogar, vielleicht haben die Demokratieverteidiger tatsächlich Anlass zum Kämpfen. Es ist jedenfalls eine eloquente, die stimmungsrelevanten Positionen besetzende, akademisch ausgebildete und mit den Grünen aufgewachsene Generation. Ihr Engagement für die Freiheiten der Gesellschaft und die natürlichen Lebensbedingungen wird nur von der Expressionskraft ihrer Individualitäten übertroffen. Der Soziologe Andreas Reckwitz spricht in seinem 2017 erschienenen Buch         Die Gesellschaft der Singularitäten         von den ""neuen Mittelschichten"". Diese neuen Mittelschichten machen jetzt gegen Rechts mobil.        "
4;Wenn sie behaupten, für die Demokratie zu streiten, so streiten sie immer für alle. Wenn andererseits die Diagnose zutrifft, dass die Rechte kein kompakter politischer Wille zusammenschmiedet, sondern nur der Affekt gegen die Werthaltungen und Interessen dieser neuen Mittelschichten, gegen deren politische Präferenzen genauso wie gegen deren Abgrenzungschoreografie nach unten, dann streiten sie nur für sich. Dann ist der Kampf um die Demokratie in Wirklichkeit ein Abwehr- und Selbstverteidigungsgefecht gegen die alte Mittelklasse, die sich noch daran erinnert, was ein Blaumann ist, und sich in einer gegenderten Sprache nicht ausdrücken kann. Und dann ist der Streit für die Demokratie im Sinne der Gutsituierten auch ein Klassenkampf gegen die Unterschicht, die keinerlei Hoffnungen mehr auf einen Aufstieg hegt, die sich nirgends mehr repräsentiert wähnt, in ihren Ressentiments sich einhaust und eher resigniert rechts wählt. 
5;"Anders – und etwas kühl historischer: Der AfD und dem Rechtsextremismus wächst keinerlei Legitimität zu, wenn man danach fragt, wie sich das rechte Syndrom gebildet hat und ob die Art, wie die neuen Mittelschichten in den vergangenen Jahrzehnten ihre Interessen politisch durchsetzten, das begünstigt hat. Man wird sehen, dass es nicht um Schuldzuweisungen geht, sondern um die Kollateralschäden, die eine erfolgreiche Modernisierungspolitik in der Bundesrepublik hinterließ. Früher hätte man von einer ""Dialektik"" gesprochen, heute können ökonomistische Routinetheorien die Verwerfungen nicht mehr erklären. "
6;Es korrigiert nur eine bundesrepublikanische Lebenslüge, wenn man zugesteht, dass eine sozialstaatlich abgefederte, jedenfalls ihrer Absicht nach Chancengleichheit gewährende und die Industriearbeit automatisierende Politik seit vielen Jahren eine wachsende Schicht von Modernisierungsverlierern akzeptiert, wahrscheinlich sogar produziert hat. Es entstand eine Schicht von Bildungsnachzüglern, die seit dem Ende von Stahl und Kohle anschwillt und seit der Digitalisierung endgültig zum alten Eisen zählt, zudem die Eliten verachtet und sich verachtet fühlt, im Übrigen die Integration Fremder ablehnt, weil sie sich selbst desintegriert wähnt. Wie groß sie ist, weiß keiner genau. Denn das Gefühl, nicht mehr dabei zu sein, ist auch im Bürgertum verbreitet. Es erfasst mittelständische Unternehmer ebenso wie Professoren, die für die gerade angesagte internationale Kooperation falsche Themen bereithalten und zu Hause bleiben müssen. Wer beim Modernisieren verliert, ist zu einer Sache der Selbstzuschreibung geworden. Den Babyboomern insgesamt steht das Ende ihrer Karrieren und ihres Lebensglücks vor Augen. Das ist Grund genug für schlechte rechte Laune. 
7;Die Bundesrepublik lebt also in einer spätzeitlichen Stimmungslage, die auch mit demografischen Umständen zu tun hat. Und zugleich wird dieses Gefühl latenter Zukunftslosigkeit von Modernisierungsgewinnern energisch dementiert. Sie legen Zukunft in einem Sinne aus, der Zweifel, Angst und Melancholie ausschließt, stattdessen noch mehr Integration und Partizipation fordert, mehr Europa und mehr Feminismus, eine noch gesündere Lebensführung, den korrekten Sex, mehr Plattform-Ökonomie, weniger Kohleverstromung: Alles ist so evident. Die öffentliche Meinung exerziert die Agendaliste der mit den Grünen aufgewachsenen Generation, als sei jeder Einspruch dagegen Verrat an der Zukunft aller. Moralismus gedeiht im Schatten eines langen Konjunkturzyklus bestens, die Konflikte können sich um identitätspolitische Detailfragen drehen. Und genau diese Version der Realität, wie sie sein soll, aber wie sie eben nicht ganz ist, hat sich unbeobachtet zu einem großen sozialen Ausschlussmechanismus entwickelt. 
8;Aufseiten der gefühlten Verlierer stehen Selbstbilder und Biografien infrage, was Einsicht nicht mehr zulässt. Daran perlen auch die Aufklärungsbemühungen der liberalen Publizistik ab. Die Selbstbeobachtung der Gesellschaft, die Allgemeinheit, die große bundesrepublikanische Supervisorin hat sich zu einer Seite im Gefecht entwickelt, ist selbst Partei geworden. Mag eine Unterschicht von Working Poor den Kern des rechten Syndroms bilden, die kulturelle Konfliktlinie zieht sich nicht präzise entlang den Grenzen des Besitzes. Sympathien genießen die Rechten in allen Schichten, und dass die CSU besonders in den wohlhabenden Kleinstädten Bayerns von der AfD gejagt wird, wo Vollbeschäftigung und Arbeitskräftemangel herrschen, widerspricht dem sublimen Restmarxismus der katholischen Soziallehre allemal. 
9;Es ist also möglich, dass die Entwicklung genauso mit Bildung zu tun hat. Die liberalen Eliten, ökologisch und globalisierungstauglich, verfolgen ebenfalls ihre Interessen. Sie fürchten keine wirtschaftliche Marginalisierung, und ihr apokalyptischer Ton deutet womöglich auf Ängste anderer Art. Auch für sie steht eine ganze Kultur auf dem Spiel, etwas Unverhandelbares, das um Selbstverständnis und Lebensgeschichte kreist. 
