;primcmnum;subcmnum;text;username
0;1;0;"""Vielleicht stimmt das sogar, vielleicht haben die Demokratieverteidiger tatsächlich Anlass zum Kämpfen. Es ist jedenfalls eine eloquente, die stimmungsrelevanten Positionen besetzende, akademisch ausgebildete und mit den Grünen aufgewachsene Generation. Ihr Engagement für die Freiheiten der Gesellschaft und die natürlichen Lebensbedingungen wird nur von der Expressionskraft ihrer Individualitäten übertroffen."" Irgendwie musste ich da aufhören zu lesen. Das ist nicht Filterblase, das ist Filterpanzer.";Windom_Earle
1;1;1;Geht mir genauso. Eispackung anzubefehlen. Synapsen kühlen.;juekoe
2;2;0;Wow, das klingt ja stellenweise direkt nach Selbsterkenntnis! Ich bin überrascht...;Mac Tonight
3;2;1;Okay nevermind, ich nehm's zurück. Ganz zu Ende gelesen: Wohl eher Selbstgerechtigkeit als Selbsterkenntnis.;Mac Tonight
4;3;0;"""Den Babyboomern insgesamt steht das Ende ihrer Karrieren und ihres Lebensglücks vor Augen. Das ist Grund genug für schlechte rechte Laune. "" Was ist das denn für eine seltsame Aussage? Sind die Babyboomer, die die Grünen gegründet haben, mehrheitlich rechts? Und wieso stehen sie vor dem Ende ihrer Karriere und ihres Lebensglücks?";dingensda
5;3;1;Wenn ich mir die Kaderebenen der erfolgreichen Unternehmungen anschauen, kaum U50.;Klameier
6;4;0;Das ist nicht das Ende der Demokratie sondern der überfällige Austausch des selbstgefälligen Personals. Wenn die CDU das intern nicht hinkriegt. Die SPD nicht mehr weiß was Opposition ist. Dann kommt eben vernünftigerweise die AfD.;otttto
7;4;1;"Sorry, ich kann mir trotz recht üppiger Phantasie absolut keinen Kontext vorstellen, in dem die Begriffe ""AfD"" und ""vernünftigerweise"" kompatibel sind. Nix für ungut.";Tyler
8;5;0;"""Steckt dahinter ein Kampf der neuen, grünen, progressiven Mittelschichten""  Mittelschicht. Bitte wer? Die 8,9% der letzten BTW-Wahl?";Klameier
9;5;1;Vorallem als würde die selbstgefällige, träge angeblich progressive Mittelschicht kämpfen können.,) Die weinen ja schon wenn das Drittauto kaputt geht.;Danny Chamoun
10;6;0;"Ich gebe unumwunden zu, dieser Text überfordert mich. Deshalb frage ich mit aller mir zur Verfügung stehenden Eloqeunz: ""Hä? Worum geht's """;Linsen wischen
11;6;1;"""Eloquenz"" natürlich ... obwohl ... ""Eloqeunz ist auch ein schönes Wort.";Linsen wischen
